fips,polyname
2013,"alaska,aleutians east"
2016,"alaska,aleutians west"
2020,"alaska,anchorage"
2050,"alaska,bethel"
2060,"alaska,bristol bay"
2068,"alaska,denali"
2070,"alaska,dillingham"
2090,"alaska,fairbanks north star"
2100,"alaska,haines"
2105,"alaska,hoonah-angoon"
2110,"alaska,juneau"
2122,"alaska,kenai peninsula"
2130,"alaska,ketchikan gateway"
2150,"alaska,kodiak island"
2158,"alaska,kusilvak"
2164,"alaska,lake and peninsula"
2170,"alaska,matanuska-susitna"
2180,"alaska,nome"
2185,"alaska,north slope"
2188,"alaska,northwest arctic"
2195,"alaska,petersburg"
2198,"alaska,prince of wales-hyder"
2220,"alaska,sitka"
2230,"alaska,skagway"
2240,"alaska,southeast fairbanks"
2261,"alaska,valdez-cordova"
2275,"alaska,wrangell"
2282,"alaska,yakutat"
2290,"alaska,yukon-koyukuk"
15001,"hawaii,hawaii"
15003,"hawaii,honolulu"
15005,"hawaii,kalawao"
15007,"hawaii,kauai"
15009,"hawaii,maui"
