"forecast_date","target","target_end_date","location","type","quantile","value"
"2020-07-15","1 wk ahead inc death","2020-07-25","US","quantile",0.01,3177.590328851
"2020-07-15","1 wk ahead inc death","2020-07-25","US","quantile",0.025,3325.360408552
"2020-07-15","1 wk ahead inc death","2020-07-25","US","quantile",0.05,3483.669691345
"2020-07-15","1 wk ahead inc death","2020-07-25","US","quantile",0.1,3765.389114881
"2020-07-15","1 wk ahead inc death","2020-07-25","US","quantile",0.15,4030.017482998
"2020-07-15","1 wk ahead inc death","2020-07-25","US","quantile",0.2,4193.964697238
"2020-07-15","1 wk ahead inc death","2020-07-25","US","quantile",0.25,4330.490494384
"2020-07-15","1 wk ahead inc death","2020-07-25","US","quantile",0.3,4478.243624208
"2020-07-15","1 wk ahead inc death","2020-07-25","US","quantile",0.35,4617.371968691
"2020-07-15","1 wk ahead inc death","2020-07-25","US","quantile",0.4,4773.225628855
"2020-07-15","1 wk ahead inc death","2020-07-25","US","quantile",0.45,4943.857514039
"2020-07-15","1 wk ahead inc death","2020-07-25","US","quantile",0.5,5089.086961247
"2020-07-15","1 wk ahead inc death","2020-07-25","US","quantile",0.55,5249.438818254
"2020-07-15","1 wk ahead inc death","2020-07-25","US","quantile",0.6,5396.308928254
"2020-07-15","1 wk ahead inc death","2020-07-25","US","quantile",0.65,5539.311462285
"2020-07-15","1 wk ahead inc death","2020-07-25","US","quantile",0.7,5663.792077983
"2020-07-15","1 wk ahead inc death","2020-07-25","US","quantile",0.75,5829.216917445
"2020-07-15","1 wk ahead inc death","2020-07-25","US","quantile",0.8,6003.737880009
"2020-07-15","1 wk ahead inc death","2020-07-25","US","quantile",0.85,6217.018559939
"2020-07-15","1 wk ahead inc death","2020-07-25","US","quantile",0.9,6514.533799274
"2020-07-15","1 wk ahead inc death","2020-07-25","US","quantile",0.95,6939.026943217
"2020-07-15","1 wk ahead inc death","2020-07-25","US","quantile",0.975,7280.828671697
"2020-07-15","1 wk ahead inc death","2020-07-25","US","quantile",0.99,7553.110689
"2020-07-15","1 wk ahead inc death","2020-07-25","US","point",NA,5185.240587588
"2020-07-15","1 wk ahead cum death","2020-07-25","US","quantile",0.01,141384.953112
"2020-07-15","1 wk ahead cum death","2020-07-25","US","quantile",0.025,141612.549276
"2020-07-15","1 wk ahead cum death","2020-07-25","US","quantile",0.05,141852.674999
"2020-07-15","1 wk ahead cum death","2020-07-25","US","quantile",0.1,142278.061116
"2020-07-15","1 wk ahead cum death","2020-07-25","US","quantile",0.15,142661.695883
"2020-07-15","1 wk ahead cum death","2020-07-25","US","quantile",0.2,142920.844451
"2020-07-15","1 wk ahead cum death","2020-07-25","US","quantile",0.25,143123.85305
"2020-07-15","1 wk ahead cum death","2020-07-25","US","quantile",0.3,143331.19214
"2020-07-15","1 wk ahead cum death","2020-07-25","US","quantile",0.35,143539.151763
"2020-07-15","1 wk ahead cum death","2020-07-25","US","quantile",0.4,143758.77489
"2020-07-15","1 wk ahead cum death","2020-07-25","US","quantile",0.45,144011.032018
"2020-07-15","1 wk ahead cum death","2020-07-25","US","quantile",0.5,144213.613813
"2020-07-15","1 wk ahead cum death","2020-07-25","US","quantile",0.55,144443.667803
"2020-07-15","1 wk ahead cum death","2020-07-25","US","quantile",0.6,144663.828017
"2020-07-15","1 wk ahead cum death","2020-07-25","US","quantile",0.65,144870.946204
"2020-07-15","1 wk ahead cum death","2020-07-25","US","quantile",0.7,145051.322481
"2020-07-15","1 wk ahead cum death","2020-07-25","US","quantile",0.75,145285.105199
"2020-07-15","1 wk ahead cum death","2020-07-25","US","quantile",0.8,145538.853601
"2020-07-15","1 wk ahead cum death","2020-07-25","US","quantile",0.85,145857.819835
"2020-07-15","1 wk ahead cum death","2020-07-25","US","quantile",0.9,146289.362269
"2020-07-15","1 wk ahead cum death","2020-07-25","US","quantile",0.95,146930.742716
"2020-07-15","1 wk ahead cum death","2020-07-25","US","quantile",0.975,147426.691207
"2020-07-15","1 wk ahead cum death","2020-07-25","US","quantile",0.99,147825.316444
"2020-07-15","1 wk ahead cum death","2020-07-25","US","point",NA,144348.196584
"2020-07-15","2 wk ahead inc death","2020-08-01","US","quantile",0.01,3298.609754413
"2020-07-15","2 wk ahead inc death","2020-08-01","US","quantile",0.025,3451.606706804
"2020-07-15","2 wk ahead inc death","2020-08-01","US","quantile",0.05,3631.607181027
"2020-07-15","2 wk ahead inc death","2020-08-01","US","quantile",0.1,3958.897269342
"2020-07-15","2 wk ahead inc death","2020-08-01","US","quantile",0.15,4249.551177863
"2020-07-15","2 wk ahead inc death","2020-08-01","US","quantile",0.2,4436.630433423
"2020-07-15","2 wk ahead inc death","2020-08-01","US","quantile",0.25,4625.420353486
"2020-07-15","2 wk ahead inc death","2020-08-01","US","quantile",0.3,4820.2314882
"2020-07-15","2 wk ahead inc death","2020-08-01","US","quantile",0.35,5010.628363026
"2020-07-15","2 wk ahead inc death","2020-08-01","US","quantile",0.4,5212.935135694
"2020-07-15","2 wk ahead inc death","2020-08-01","US","quantile",0.45,5405.44475585
"2020-07-15","2 wk ahead inc death","2020-08-01","US","quantile",0.5,5593.989385257
"2020-07-15","2 wk ahead inc death","2020-08-01","US","quantile",0.55,5815.742706429
"2020-07-15","2 wk ahead inc death","2020-08-01","US","quantile",0.6,6023.679279164
"2020-07-15","2 wk ahead inc death","2020-08-01","US","quantile",0.65,6225.233402756
"2020-07-15","2 wk ahead inc death","2020-08-01","US","quantile",0.7,6389.079030763
"2020-07-15","2 wk ahead inc death","2020-08-01","US","quantile",0.75,6600.09772099
"2020-07-15","2 wk ahead inc death","2020-08-01","US","quantile",0.8,6864.118419482
"2020-07-15","2 wk ahead inc death","2020-08-01","US","quantile",0.85,7141.448068885
"2020-07-15","2 wk ahead inc death","2020-08-01","US","quantile",0.9,7531.01739557
"2020-07-15","2 wk ahead inc death","2020-08-01","US","quantile",0.95,8063.78015477
"2020-07-15","2 wk ahead inc death","2020-08-01","US","quantile",0.975,8471.31650916
"2020-07-15","2 wk ahead inc death","2020-08-01","US","quantile",0.99,8842.36573043
"2020-07-15","2 wk ahead inc death","2020-08-01","US","point",NA,5793.609365785
"2020-07-15","2 wk ahead cum death","2020-08-01","US","quantile",0.01,144688.110999
"2020-07-15","2 wk ahead cum death","2020-08-01","US","quantile",0.025,145068.210225
"2020-07-15","2 wk ahead cum death","2020-08-01","US","quantile",0.05,145487.91762
"2020-07-15","2 wk ahead cum death","2020-08-01","US","quantile",0.1,146240.201513
"2020-07-15","2 wk ahead cum death","2020-08-01","US","quantile",0.15,146913.725092
"2020-07-15","2 wk ahead cum death","2020-08-01","US","quantile",0.2,147359.014337
"2020-07-15","2 wk ahead cum death","2020-08-01","US","quantile",0.25,147750.866101
"2020-07-15","2 wk ahead cum death","2020-08-01","US","quantile",0.3,148153.190291
"2020-07-15","2 wk ahead cum death","2020-08-01","US","quantile",0.35,148551.114831
"2020-07-15","2 wk ahead cum death","2020-08-01","US","quantile",0.4,148973.333503
"2020-07-15","2 wk ahead cum death","2020-08-01","US","quantile",0.45,149417.3804
"2020-07-15","2 wk ahead cum death","2020-08-01","US","quantile",0.5,149807.603198
