State,Emergency declarations,School closure,Mass gathering restrictions,Bar/restaurant closures,Non-essential business closures,Movement restrictions/shelter in place,Mandatory Masks,Reopening Plan Reversal
AK,,,5/22/20,4/24/20,4/24/20,4/24/20,,
AL,,,5/11/20,5/11/20,4/30/20,4/30/20,,
AR,,,6/15/20,5/11/20,5/4/20,,,
AZ,5/15/20,,5/15/20,5/11/20,5/8/20,5/15/20,,
CA​,,,,,5/25/20,,,
CO,,,6/19/20,5/27/20,5/1/20,4/27/20,,
CT,,,,6/20/20,5/20/20,5/20/20,,
DC,,,,6/22/20,6/22/20,5/29/20,,
DE,,,,6/1/20,6/1/20,6/1/20,,
FL,,,,5/18/20,5/18/20,5/18/20,,
GA,,,6/16/20,4/27/20,5/1/20,5/1/20,,
HI,,,,6/5/20,5/7/20,6/1/20,,
IA,,,6/1/20,5/15/20,5/8/20,,,
ID,,,6/13/20,5/16/20,5/1/20,5/1/20,,
IL,,,,6/26/20,5/29/20,5/29/20,,
IN,,,6/1/20,5/18/20,5/18/20,5/18/20,,
KS,5/26/20,,5/26/20,5/4/20,5/4/20,5/4/20,,
KY,,,,5/22/20,5/20/20,5/22/20,,
LA,,,6/4/20,5/15/20,5/15/20,5/15/20,,
MA​,,,,6/22/20,5/19/20,5/18/20,,
MD​,,,,6/12/20,5/15/20,5/15/20,,
ME,,,,6/17/20,6/1/20,6/1/20,,
MI,,,,6/8/20,5/26/20,6/1/20,,
MN,,,,6/9/20,5/18/20,5/18/20,,
MO,,,5/4/20,5/4/20,5/4/20,5/4/20,,
MS,,,,5/7/20,5/11/20,4/28/20,,
MT,,5/7/20,,5/4/20,4/27/20,4/25/20,,
NC,,,,5/22/20,5/8/20,5/22/20,,
ND,,,5/15/20,5/1/20,5/1/20,,,
NE​,,,6/1/20,5/21/20,,,,
NH,,,,6/15/20,5/11/20,6/15/20,,
NJ,,,,7/2/20,6/15/20,6/9/20,,
NM,,,,6/1/20,5/15/20,6/1/20,,
NV,,,,5/9/20,5/9/20,5/9/20,,
NY​,,,,,6/8/20,6/8/20,,
OH​,,,,5/21/20,5/12/20,5/19/20,,
OK,,,5/15/20,5/1/20,4/24/20,,,
OR,,,,6/19/20,5/15/20,6/19/20,,
PA,,,,,6/5/20,6/5/20,,
RI,,,,6/1/20,5/9/20,5/9/20,,
SC,,,,5/11/20,4/20/20,5/4/20,,
SD,,,6/1/20,,,,,
TN,,,,4/27/20,4/29/20,4/28/20,,
TX​,,6/1/20,5/5/20,5/1/20,5/1/20,5/1/20,,
UT,,,,5/1/20,5/1/20,,,
VA,,,,6/12/20,5/29/20,5/29/20,,
VT,,,,6/8/20,5/18/20,5/16/20,,
WA​,,,,6/5/20,6/1/20,6/1/20,,
WI,,,5/13/20,5/13/20,5/13/20,5/13/20,,
WV,,,6/5/20,5/21/20,5/4/20,5/4/20,,
WY,,,6/15/20,5/15/20,5/1/20,,,
