name_display,name_pretty,state,countyFIPS
"Autauga County, AL",Autauga County,AL,01001
"Baldwin County, AL",Baldwin County,AL,01003
"Barbour County, AL",Barbour County,AL,01005
"Bibb County, AL",Bibb County,AL,01007
"Blount County, AL",Blount County,AL,01009
"Bullock County, AL",Bullock County,AL,01011
"Butler County, AL",Butler County,AL,01013
"Calhoun County, AL",Calhoun County,AL,01015
"Chambers County, AL",Chambers County,AL,01017
"Cherokee County, AL",Cherokee County,AL,01019
"Chilton County, AL",Chilton County,AL,01021
"Choctaw County, AL",Choctaw County,AL,01023
"Clarke County, AL",Clarke County,AL,01025
"Clay County, AL",Clay County,AL,01027
"Cleburne County, AL",Cleburne County,AL,01029
"Coffee County, AL",Coffee County,AL,01031
"Colbert County, AL",Colbert County,AL,01033
"Conecuh County, AL",Conecuh County,AL,01035
"Coosa County, AL",Coosa County,AL,01037
"Covington County, AL",Covington County,AL,01039
"Crenshaw County, AL",Crenshaw County,AL,01041
"Cullman County, AL",Cullman County,AL,01043
"Dale County, AL",Dale County,AL,01045
"Dallas County, AL",Dallas County,AL,01047
"DeKalb County, AL",DeKalb County,AL,01049
"Elmore County, AL",Elmore County,AL,01051
"Escambia County, AL",Escambia County,AL,01053
"Etowah County, AL",Etowah County,AL,01055
"Fayette County, AL",Fayette County,AL,01057
"Franklin County, AL",Franklin County,AL,01059
"Geneva County, AL",Geneva County,AL,01061
"Greene County, AL",Greene County,AL,01063
"Hale County, AL",Hale County,AL,01065
"Henry County, AL",Henry County,AL,01067
"Houston County, AL",Houston County,AL,01069
"Jackson County, AL",Jackson County,AL,01071
"Jefferson County, AL",Jefferson County,AL,01073
"Lamar County, AL",Lamar County,AL,01075
"Lauderdale County, AL",Lauderdale County,AL,01077
"Lawrence County, AL",Lawrence County,AL,01079
"Lee County, AL",Lee County,AL,01081
"Limestone County, AL",Limestone County,AL,01083
"Lowndes County, AL",Lowndes County,AL,01085
"Macon County, AL",Macon County,AL,01087
"Madison County, AL",Madison County,AL,01089
"Marengo County, AL",Marengo County,AL,01091
"Marion County, AL",Marion County,AL,01093
"Marshall County, AL",Marshall County,AL,01095
"Mobile County, AL",Mobile County,AL,01097
"Monroe County, AL",Monroe County,AL,01099
"Montgomery County, AL",Montgomery County,AL,01101
"Morgan County, AL",Morgan County,AL,01103
"Perry County, AL",Perry County,AL,01105
"Pickens County, AL",Pickens County,AL,01107
"Pike County, AL",Pike County,AL,01109
"Randolph County, AL",Randolph County,AL,01111
"Russell County, AL",Russell County,AL,01113
"St. Clair County, AL",St. Clair County,AL,01115
"Shelby County, AL",Shelby County,AL,01117
"Sumter County, AL",Sumter County,AL,01119
"Talladega County, AL",Talladega County,AL,01121
"Tallapoosa County, AL",Tallapoosa County,AL,01123
"Tuscaloosa County, AL",Tuscaloosa County,AL,01125
"Walker County, AL",Walker County,AL,01127
"Washington County, AL",Washington County,AL,01129
"Wilcox County, AL",Wilcox County,AL,01131
"Winston County, AL",Winston County,AL,01133
"Aleutians East Borough, AK",Aleutians East Borough,AK,02013
"Aleutians West Census Area, AK",Aleutians West Census Area,AK,02016
"Municipality of Anchorage, AK",Municipality of Anchorage,AK,02020
"Bethel Census Area, AK",Bethel Census Area,AK,02050
"Bristol Bay Borough, AK",Bristol Bay Borough,AK,02060
"Denali Borough, AK",Denali Borough,AK,02068
"Dillingham Census Area, AK",Dillingham Census Area,AK,02070
"Fairbanks North Star Borough, AK",Fairbanks North Star Borough,AK,02090
"Haines Borough, AK",Haines Borough,AK,02100
"Hoonah-Angoon Census Area, AK",Hoonah-Angoon Census Area,AK,02105
"City and Borough of Juneau, AK",City and Borough of Juneau,AK,02110
"Kenai Peninsula Borough, AK",Kenai Peninsula Borough,AK,02122
"Ketchikan Gateway Borough, AK",Ketchikan Gateway Borough,AK,02130
"Kodiak Island Borough, AK",Kodiak Island Borough,AK,02150
"Kusilvak Census Area, AK",Kusilvak Census Area,AK,02158
"Lake and Peninsula Borough, AK",Lake and Peninsula Borough,AK,02164
"Matanuska-Susitna Borough, AK",Matanuska-Susitna Borough,AK,02170
"Nome Census Area, AK",Nome Census Area,AK,02180
"North Slope Borough, AK",North Slope Borough,AK,02185
"Northwest Arctic Borough, AK",Northwest Arctic Borough,AK,02188
"Petersburg Census Area, AK",Petersburg Census Area,AK,02195
"Prince of Wales-Hyder Census Area, AK",Prince of Wales-Hyder Census Area,AK,02198
"Sitka City and Borough, AK",Sitka City and Borough,AK,02220
"Skagway Municipality, AK",Skagway Municipality,AK,02230
"Southeast Fairbanks Census Area, AK",Southeast Fairbanks Census Area,AK,02240
"Valdez-Cordova Census Area, AK",Valdez-Cordova Census Area,AK,02261
"Wade Hampton Census Area, AK",Wade Hampton Census Area,AK,02270
"Wrangell City and Borough, AK",Wrangell City and Borough,AK,02275
"Yakutat City and Borough, AK",Yakutat City and Borough,AK,02282
"Yukon-Koyukuk Census Area, AK",Yukon-Koyukuk Census Area,AK,02290
"Apache County, AZ",Apache County,AZ,04001
"Cochise County, AZ",Cochise County,AZ,04003
"Coconino County, AZ",Coconino County,AZ,04005
"Gila County, AZ",Gila County,AZ,04007
"Graham County, AZ",Graham County,AZ,04009
"Greenlee County, AZ",Greenlee County,AZ,04011
"La Paz County, AZ",La Paz County,AZ,04012
"Maricopa County, AZ",Maricopa County,AZ,04013
"Mohave County, AZ",Mohave County,AZ,04015
"Navajo County, AZ",Navajo County,AZ,04017
"Pima County, AZ",Pima County,AZ,04019
"Pinal County, AZ",Pinal County,AZ,04021
"Santa Cruz County, AZ",Santa Cruz County,AZ,04023
"Yavapai County, AZ",Yavapai County,AZ,04025
"Yuma County, AZ",Yuma County,AZ,04027
"Arkansas County, AR",Arkansas County,AR,05001
"Ashley County, AR",Ashley County,AR,05003
"Baxter County, AR",Baxter County,AR,05005
"Benton County, AR",Benton County,AR,05007
"Boone County, AR",Boone County,AR,05009
"Bradley County, AR",Bradley County,AR,05011
"Calhoun County, AR",Calhoun County,AR,05013
"Carroll County, AR",Carroll County,AR,05015
"Chicot County, AR",Chicot County,AR,05017
"Clark County, AR",Clark County,AR,05019
"Clay County, AR",Clay County,AR,05021
