"forecast_date","target","target_end_date","location","type","quantile","value"
"2020-07-13","1 wk ahead inc death","2020-07-18","02","quantile",0.01,0.641194655
"2020-07-13","1 wk ahead inc death","2020-07-18","02","quantile",0.025,0.760039875
"2020-07-13","1 wk ahead inc death","2020-07-18","02","quantile",0.05,0.8764005
"2020-07-13","1 wk ahead inc death","2020-07-18","02","quantile",0.1,1.03115675
"2020-07-13","1 wk ahead inc death","2020-07-18","02","quantile",0.15,1.14152125
"2020-07-13","1 wk ahead inc death","2020-07-18","02","quantile",0.2,1.2425524
"2020-07-13","1 wk ahead inc death","2020-07-18","02","quantile",0.25,1.334434625
"2020-07-13","1 wk ahead inc death","2020-07-18","02","quantile",0.3,1.4262626
"2020-07-13","1 wk ahead inc death","2020-07-18","02","quantile",0.35,1.513065775
"2020-07-13","1 wk ahead inc death","2020-07-18","02","quantile",0.4,1.598679
"2020-07-13","1 wk ahead inc death","2020-07-18","02","quantile",0.45,1.68327915
"2020-07-13","1 wk ahead inc death","2020-07-18","02","quantile",0.5,1.774843
"2020-07-13","1 wk ahead inc death","2020-07-18","02","point",NA,1.86253787743547
"2020-07-13","1 wk ahead inc death","2020-07-18","02","quantile",0.55,1.8677586
"2020-07-13","1 wk ahead inc death","2020-07-18","02","quantile",0.6,1.962101
"2020-07-13","1 wk ahead inc death","2020-07-18","02","quantile",0.65,2.062259175
"2020-07-13","1 wk ahead inc death","2020-07-18","02","quantile",0.7,2.18171275
"2020-07-13","1 wk ahead inc death","2020-07-18","02","quantile",0.75,2.30617325
"2020-07-13","1 wk ahead inc death","2020-07-18","02","quantile",0.8,2.4440283
"2020-07-13","1 wk ahead inc death","2020-07-18","02","quantile",0.85,2.611052
"2020-07-13","1 wk ahead inc death","2020-07-18","02","quantile",0.9,2.8239595
"2020-07-13","1 wk ahead inc death","2020-07-18","02","quantile",0.95,3.158420525
"2020-07-13","1 wk ahead inc death","2020-07-18","02","quantile",0.975,3.46334825
"2020-07-13","1 wk ahead inc death","2020-07-18","02","quantile",0.99,3.79964721
"2020-07-13","1 wk ahead cum death","2020-07-18","02","quantile",0.01,17.641194655
"2020-07-13","1 wk ahead cum death","2020-07-18","02","quantile",0.025,17.760039875
"2020-07-13","1 wk ahead cum death","2020-07-18","02","quantile",0.05,17.8764005
"2020-07-13","1 wk ahead cum death","2020-07-18","02","quantile",0.1,18.03115675
"2020-07-13","1 wk ahead cum death","2020-07-18","02","quantile",0.15,18.14152125
"2020-07-13","1 wk ahead cum death","2020-07-18","02","quantile",0.2,18.2425524
"2020-07-13","1 wk ahead cum death","2020-07-18","02","quantile",0.25,18.334434625
"2020-07-13","1 wk ahead cum death","2020-07-18","02","quantile",0.3,18.4262626
"2020-07-13","1 wk ahead cum death","2020-07-18","02","quantile",0.35,18.513065775
"2020-07-13","1 wk ahead cum death","2020-07-18","02","quantile",0.4,18.598679
"2020-07-13","1 wk ahead cum death","2020-07-18","02","quantile",0.45,18.68327915
"2020-07-13","1 wk ahead cum death","2020-07-18","02","quantile",0.5,18.774843
"2020-07-13","1 wk ahead cum death","2020-07-18","02","point",NA,18.8625378774354
"2020-07-13","1 wk ahead cum death","2020-07-18","02","quantile",0.55,18.8677586
"2020-07-13","1 wk ahead cum death","2020-07-18","02","quantile",0.6,18.962101
"2020-07-13","1 wk ahead cum death","2020-07-18","02","quantile",0.65,19.062259175
"2020-07-13","1 wk ahead cum death","2020-07-18","02","quantile",0.7,19.18171275
"2020-07-13","1 wk ahead cum death","2020-07-18","02","quantile",0.75,19.30617325
"2020-07-13","1 wk ahead cum death","2020-07-18","02","quantile",0.8,19.4440283
"2020-07-13","1 wk ahead cum death","2020-07-18","02","quantile",0.85,19.611052
"2020-07-13","1 wk ahead cum death","2020-07-18","02","quantile",0.9,19.8239595
"2020-07-13","1 wk ahead cum death","2020-07-18","02","quantile",0.95,20.158420525
"2020-07-13","1 wk ahead cum death","2020-07-18","02","quantile",0.975,20.46334825
"2020-07-13","1 wk ahead cum death","2020-07-18","02","quantile",0.99,20.79964721
"2020-07-13","2 wk ahead inc death","2020-07-25","02","quantile",0.01,0.606588285
"2020-07-13","2 wk ahead inc death","2020-07-25","02","quantile",0.025,0.7406049125
"2020-07-13","2 wk ahead inc death","2020-07-25","02","quantile",0.05,0.8714724
"2020-07-13","2 wk ahead inc death","2020-07-25","02","quantile",0.1,1.04970065
"2020-07-13","2 wk ahead inc death","2020-07-25","02","quantile",0.15,1.1906817
