GEO_ID,STATE,COUNTY,NAME,LSAD,CENSUSAREA,lat,lng
0500000US02261,02,261,Valdez-Cordova,CA,34239.88,60.715893621227885,-146.72052179500523
0500000US02270,02,270,Wade Hampton,CA,17081.433,61.825480758152175,-164.22077392119564
0500000US02275,02,275,Wrangell,Cty&Bor,2541.483,56.33409126071429,-132.368327975
0500000US02290,02,290,Yukon-Koyukuk,CA,145504.789,65.05241659415583,-150.41508168506496
0500000US04003,04,003,Cochise,County,6165.69,31.883075575757573,-109.56375133333334
0500000US04009,04,009,Graham,County,4622.597,33.35462739361703,-109.83307752127659
0500000US04012,04,012,La Paz,County,4499.629,33.70450816622691,-114.43231147757258
0500000US04015,04,015,Mohave,County,13311.084,35.576134887983706,-114.04431412423625
0500000US04023,04,023,Santa Cruz,County,1236.916,31.532755555555557,-110.93560583333334
0500000US05005,05,005,Baxter,County,554.283,36.30071456,-92.39999329999999
0500000US05023,05,023,Cleburne,County,553.692,35.518212266666666,-91.98286393333333
0500000US05025,05,025,Cleveland,County,597.783,33.88050573913044,-92.27749978260869
0500000US05027,05,027,Columbia,County,766.053,33.161594387096784,-93.25921354838708
0500000US05037,05,037,Cross,County,616.381,35.310371277777776,-90.71464105555556
0500000US05043,05,043,Drew,County,828.356,33.57718252941176,-91.82842705882352
0500000US05051,05,051,Garland,County,677.781,34.6092795652174,-93.06996060869567
0500000US05059,05,059,Hot Spring,County,615.202,34.31775306666667,-92.96206813333333
0500000US05067,05,067,Jackson,County,633.938,35.64493333333334,-91.2838481818182
0500000US05081,05,081,Little River,County,532.253,33.61821594984326,-94.24545086833855
0500000US05087,05,087,Madison,County,834.255,36.05818463888889,-93.65698527777778
0500000US05097,05,097,Montgomery,County,779.88,34.61592115789474,-93.69784552631577
0500000US05109,05,109,Pike,County,600.618,34.099819236842094,-93.58404057894737
0500000US05111,05,111,Poinsett,County,758.389,35.5088606875,-90.655752875
0500000US05123,05,123,St. Francis,County,634.771,35.01165910526316,-90.80142331578949
0500000US05129,05,129,Searcy,County,666.095,35.9338825625,-92.7480784375
0500000US05135,05,135,Sharp,County,604.439,36.261731809523816,-91.45660009523809
0500000US05139,05,139,Union,County,1039.214,33.1794791369863,-92.48603594520549
