column,source,description,CATEGORY
f0453110,AHRF.csv,White Population,Population
f0453210,AHRF.csv,Black/African American Pop,Population
f0453310,AHRF.csv,Am Indian/Alaska Native Pop,Population
f0453510,AHRF.csv,Some Other Race Population,Population
f0453610,AHRF.csv,Hispanic/Latino Population,Population
f0679218,AHRF.csv,"Civilian Labor Force, 16+",Population
f0679418,AHRF.csv,"Number Unemployed, 16+",Population
f0679518,AHRF.csv,"Unemployment Rate, 16+",Population
f0886817,AHRF.csv,Total Number Hospitals,Healthcare System Characteristics
f0892117,AHRF.csv,Hospital Beds,Healthcare System Characteristics
f0913317,AHRF.csv,"Cardiac Intens Cr, Beds Set Up",Healthcare System Characteristics
f0913917,AHRF.csv,"Med/Surg Intens Cr, Beds Set Up",Healthcare System Characteristics
f0931717,AHRF.csv,# FTE R.N.s,Healthcare System Characteristics
f0932017,AHRF.csv,# FTE L.P.N.s & L.V.N.s,Healthcare System Characteristics
f1130917,AHRF.csv,# FTE Physicians & Dentists,Healthcare System Characteristics
f1139619,AHRF.csv,Veteran Population Estimate,Population
f1193515,AHRF.csv,3-Yr Influenza & Pneumonia,Vulnerable Population Health Measures
f1193615,AHRF.csv,3-Yr Chronic Lower Resp Dis,Vulnerable Population Health Measures
f1194115,AHRF.csv,3-Yr Total Deaths,Population
f1198418,AHRF.csv,Population Estimate,Population
f1256517,AHRF.csv,# Hosp W/Medical/Surg Intens Cr,Healthcare System Characteristics
f1266417,AHRF.csv,# FTE Medical & Dental Residnts,Healthcare System Characteristics
f1319118,AHRF.csv,# Eligible for Medicare,Population
f1321418,AHRF.csv,# Home Health Agencies,Healthcare System Characteristics
f1321818,AHRF.csv,# Rural Health Clinics,Healthcare System Characteristics
f1321918,AHRF.csv,# Ambulatory Surgery Centers,Healthcare System Characteristics
f1322018,AHRF.csv,# Hospices,Healthcare System Characteristics
f1322317,AHRF.csv,Persons in Poverty,Population
f1330917,AHRF.csv,"Other Intensive Cr, Bed Set Up",Healthcare System Characteristics
f1331817,AHRF.csv,# Operating Rooms,Healthcare System Characteristics
f1332610,AHRF.csv,Asian Population,Population
f1332710,AHRF.csv,Native Hawaii/Oth Pac Isl Pop,Population
f1332810,AHRF.csv,Two or more Races Population,Population
f1348310,AHRF.csv,Median Age,Population
f1351510,AHRF.csv,Housing Units,Population
f1392917,AHRF.csv,# Airborne Infection Isol Rooms (Short),Healthcare System Characteristics
f1393717,AHRF.csv,# Airborne Infection Isol Rooms (Long),Healthcare System Characteristics
f1408416,AHRF.csv,Food Stamp/SNAP Recipients,Population
f1419612,AHRF.csv,"Medicaid Eligibles, Total",Population
f1433613,AHRF.csv,Foreign Born Population,Population
f1433713,AHRF.csv,# Non-Eng Speaking Persons 5-17,Population
f1433913,AHRF.csv,"Household Income, Under $10000",Population
f1434013,AHRF.csv,"Household Income, $10,000-14999",Population
f1434113,AHRF.csv,"Household Income, $15,000-24999",Population
f1434213,AHRF.csv,"Household Income, $25,000-49999",Population
f1434313,AHRF.csv,"Household Income, $50,000-99999",Population
f1434413,AHRF.csv,"Household Income, $100,000+",Population
f1440813,AHRF.csv,% Persons Below Poverty Level,Population
f1461311,AHRF.csv,Median Home Value,Population
f1461413,AHRF.csv,Median Gross Rent,Population
f1463510,AHRF.csv,Non-Hispanic/Latino Population,Population
f1484010,AHRF.csv,Population 65+,Population
